college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,academic_score,total_skills,experience_score
Tier 2,7.64,0,0,0,2,2,1,0,0,61.7,ML Engineer,14.82,2,5,0.6109,3,5.0
Tier 2,5.79,0,3,3,1,3,1,2,0,57.8,Web Developer,6.05,2,7,0.4038,7,10.5
Tier 2,7.62,4,1,2,4,2,0,1,1,64.3,DevOps Engineer,10.19,2,3,0.6237,3,22.0
Tier 2,7.68,1,0,1,5,7,0,0,1,47.8,Data Analyst,6.12,2,1,0.5359,1,17.5
Tier 3,6.77,0,3,1,1,4,1,2,0,58.4,Backend Developer,9.81,1,0,0.5052,7,11.5
Tier 2,7.85,1,1,1,4,5,0,1,0,50.6,Backend Developer,10.55,2,0,0.5688,2,16.0
Tier 3,7.29,0,2,3,2,2,0,2,2,59.2,Backend Developer,8.12,1,0,0.5617,6,9.0
Tier 2,5.83,2,4,0,0,1,0,0,1,52.8,Junior Developer,4.81,2,4,0.3793,1,15.0
Tier 3,7.4,1,1,1,3,3,1,1,3,47.2,Data Analyst,13.06,1,1,0.5044,8,12.5
Tier 1,7.0,2,1,3,2,6,1,0,1,55.5,Software Engineer,16.56,3,6,0.5117,4,17.0
Tier 3,7.04,1,1,1,1,2,0,2,2,62.7,Web Developer,8.63,1,7,0.5566,6,8.5
Tier 1,8.45,0,5,1,1,2,1,3,2,56.6,DevOps Engineer,20.0,3,3,0.6629,11,13.5
Tier 3,5.63,1,4,0,1,4,1,2,1,41.0,Junior Developer,6.15,1,4,0.2922,8,16.5
Tier 2,7.59,0,3,0,1,1,1,1,2,59.1,DevOps Engineer,16.33,2,3,0.5911,7,8.5
Tier 1,7.83,1,2,1,0,1,3,1,0,69.0,ML Engineer,16.08,3,5,0.6715,11,8.0
Tier 3,7.53,0,3,1,3,1,1,2,0,58.4,DevOps Engineer,13.76,1,3,0.5812,7,11.5
Tier 2,6.14,3,0,0,1,2,1,1,1,34.8,Junior Developer,8.96,2,4,0.3079,6,12.5
Tier 3,8.03,0,0,0,0,1,0,2,0,59.5,Backend Developer,7.44,1,0,0.6374,4,1.0
Tier 3,6.76,1,1,0,2,3,0,0,2,45.5,Backend Developer,6.54,1,0,0.4308,2,11.0
Tier 3,5.02,5,2,4,2,0,2,1,0,37.2,Junior Developer,3.83,1,4,0.2095,8,22.0
Tier 2,8.85,1,4,0,2,0,4,1,0,74.3,ML Engineer,23.88,2,5,0.8036,14,14.0
Tier 2,5.76,4,2,2,0,2,0,0,1,35.0,Junior Developer,4.82,2,4,0.271,1,18.0
Tier 2,8.68,2,2,1,0,0,0,2,1,46.0,Web Developer,9.83,2,7,0.6256,5,10.0
Tier 3,6.52,0,2,2,0,3,0,0,1,58.4,Data Analyst,5.12,1,1,0.4802,1,7.0
Tier 3,7.86,1,1,1,0,1,0,0,1,61.9,Data Analyst,6.54,1,1,0.6341,1,6.0
Tier 2,6.62,1,3,0,1,2,0,0,1,49.4,Junior Developer,6.51,2,4,0.439,1,12.5
Tier 1,5.8,1,1,0,3,0,0,0,1,52.7,Junior Developer,4.44,3,4,0.3757,1,9.5
Tier 1,8.43,2,5,3,0,3,2,2,2,73.4,Data Scientist,23.61,3,2,0.7565,12,19.0
Tier 1,8.18,1,2,1,3,4,0,2,1,46.9,Software Engineer,10.11,3,6,0.5807,5,15.5
Tier 3,6.48,4,3,0,1,1,0,3,0,53.6,Backend Developer,7.99,1,0,0.4489,6,20.5
Tier 2,9.54,1,4,1,1,2,0,2,1,72.6,DevOps Engineer,10.29,2,3,0.863,5,14.5
Tier 1,5.52,0,3,0,1,1,1,2,0,46.1,Web Developer,5.95,3,7,0.3102,7,8.5
Tier 2,6.56,0,3,0,2,3,1,2,0,59.4,Software Engineer,10.21,2,6,0.4899,7,12.0
Tier 2,8.15,4,0,1,0,2,2,2,1,58.9,Backend Developer,17.51,2,0,0.646,11,14.0
Tier 3,6.05,0,3,1,1,1,1,0,3,48.9,Data Analyst,9.82,1,1,0.3791,6,8.5
Tier 3,7.81,2,1,0,2,2,1,1,2,58.0,Backend Developer,14.72,1,0,0.6069,7,13.0
Tier 2,6.13,1,2,0,1,1,2,1,0,51.6,Backend Developer,9.94,2,0,0.4025,8,9.5
Tier 3,7.43,0,3,1,1,4,1,2,2,64.4,Data Analyst,13.71,1,1,0.6053,9,11.5
Tier 3,7.93,0,3,0,2,1,0,0,2,56.4,Data Analyst,6.06,1,1,0.6098,2,10.0
Tier 1,7.5,1,4,1,3,1,0,2,0,47.3,DevOps Engineer,10.07,3,3,0.515,4,16.5
Tier 2,4.86,2,0,2,0,3,1,1,1,30.9,Junior Developer,4.74,2,4,0.1577,6,9.0
Tier 2,6.24,1,4,0,3,4,0,2,2,46.4,Backend Developer,7.67,2,0,0.3839,6,19.5
Tier 3,6.42,0,0,0,0,4,1,1,2,47.3,Backend Developer,9.9,1,0,0.407,7,4.0
Tier 2,7.06,0,3,0,4,4,0,4,0,52.2,Backend Developer,9.65,2,0,0.4989,8,16.0
Tier 1,8.34,2,2,1,6,2,1,3,1,67.4,Backend Developer,17.82,3,0,0.7134,10,21.0
Tier 2,6.38,1,3,0,0,0,2,1,0,58.1,Backend Developer,10.31,2,0,0.4645,8,9.0
Tier 2,7.43,0,0,0,1,1,1,0,1,47.8,Backend Developer,13.4,2,0,0.5109,4,2.5
Tier 2,8.57,1,3,1,0,3,0,1,0,54.9,Backend Developer,10.56,2,0,0.6653,2,12.0
Tier 2,5.16,0,2,1,2,0,2,1,1,40.0,Junior Developer,4.29,2,4,0.2395,9,7.0
Tier 3,6.87,0,1,1,1,2,1,1,3,56.3,Data Analyst,9.85,1,1,0.5032,8,5.5
Tier 3,9.02,2,4,0,3,2,0,1,1,61.1,Software Engineer,10.56,1,6,0.7455,3,20.5
Tier 1,6.88,0,1,0,0,3,0,2,1,42.2,Junior Developer,8.41,3,4,0.424,5,5.0
Tier 1,7.35,0,0,0,3,2,0,2,1,52.5,Backend Developer,10.66,3,0,0.5296,5,6.5
Tier 3,6.89,2,2,2,0,1,2,1,2,49.9,Backend Developer,9.92,1,0,0.4688,10,11.0
Tier 2,6.41,0,4,1,0,1,0,0,2,44.1,Junior Developer,6.36,2,4,0.3878,2,9.0
Tier 2,7.25,1,2,0,1,2,1,1,1,57.7,Backend Developer,15.66,2,0,0.5492,6,10.5
Tier 2,9.21,1,5,0,1,4,1,1,3,60.9,DevOps Engineer,19.6,2,3,0.7634,8,18.5
Tier 3,7.91,0,2,0,1,0,0,1,0,44.8,Software Engineer,7.77,1,6,0.5418,2,5.5
Tier 2,8.59,0,0,0,1,2,1,0,0,65.0,Software Engineer,18.34,2,6,0.7247,3,3.5
Tier 3,7.1,1,5,0,2,3,0,1,2,48.9,Data Analyst,9.85,1,1,0.4841,4,19.0
Tier 2,8.06,1,1,0,2,1,0,0,1,63.0,Web Developer,6.58,2,7,0.6603,1,9.0
Tier 3,8.32,0,4,2,2,4,0,3,1,50.0,Web Developer,10.11,1,7,0.6124,7,15.0
Tier 2,7.08,0,3,0,1,1,1,2,0,54.7,Software Engineer,16.02,2,6,0.5151,7,8.5
Tier 2,7.16,1,2,0,1,4,1,2,2,54.9,Backend Developer,16.24,2,0,0.5243,9,12.5
Tier 2,6.11,1,0,0,0,0,1,2,0,42.2,Software Engineer,10.43,2,6,0.347,7,3.0
Tier 3,6.61,1,4,0,2,3,1,3,1,53.3,Junior Developer,8.66,1,4,0.4601,10,17.0
Tier 3,4.95,0,5,1,3,4,2,2,0,46.1,Junior Developer,5.04,1,4,0.2532,10,18.5
Tier 2,6.47,1,1,1,1,4,1,0,2,48.5,Backend Developer,9.98,2,0,0.4188,5,10.5
Tier 3,5.9,1,2,1,1,1,1,1,2,50.7,Junior Developer,6.1,1,4,0.3744,7,9.5
Tier 3,5.65,3,4,1,0,2,0,1,1,48.0,Junior Developer,4.29,1,4,0.334,3,19.0
Tier 1,5.44,2,4,1,1,4,1,1,2,52.3,Junior Developer,4.15,3,4,0.3375,7,19.5
Tier 2,5.9,2,1,3,2,0,1,0,1,45.5,Junior Developer,6.76,2,4,0.3448,4,11.0
Tier 1,7.16,0,0,0,1,1,1,1,2,57.9,Backend Developer,16.0,3,0,0.5413,7,2.5
Tier 3,8.73,1,2,0,1,4,0,2,3,66.1,Data Analyst,10.21,1,1,0.745,7,12.5
Tier 2,6.76,0,4,1,3,2,0,4,1,45.2,Backend Developer,7.91,2,0,0.4291,9,14.5
Tier 2,6.52,2,1,1,1,3,1,1,0,49.4,Backend Developer,9.82,2,0,0.429,5,12.5
Tier 1,5.42,2,0,4,1,5,2,1,0,35.8,Junior Developer,4.33,3,4,0.2416,8,12.5
Tier 2,8.29,0,4,0,0,1,0,1,3,57.6,Web Developer,10.15,2,7,0.6526,5,9.0
Tier 2,8.71,0,5,1,3,2,1,2,1,63.2,Backend Developer,17.16,2,0,0.7265,8,16.5
Tier 3,6.99,3,1,0,1,2,1,1,3,54.3,Data Analyst,9.4,1,1,0.5038,8,14.5
Tier 3,8.55,0,2,0,3,4,1,2,2,58.1,Web Developer,15.08,1,7,0.6815,9,12.5
Tier 2,6.38,0,0,4,2,1,1,1,1,46.3,Junior Developer,8.78,2,4,0.3973,6,4.0
Tier 2,6.77,0,1,1,1,3,0,1,0,43.8,Web Developer,7.68,2,7,0.4221,2,6.5
Tier 1,5.09,1,2,2,2,3,0,2,2,43.5,Junior Developer,3.22,3,4,0.2524,6,13.0
Tier 3,7.15,1,2,0,2,1,2,2,1,62.9,Backend Developer,15.51,1,0,0.5688,11,11.0
Tier 1,8.46,1,1,0,2,2,1,2,2,57.8,Web Developer,15.72,3,7,0.6708,9,10.0
Tier 2,5.63,1,3,3,2,1,0,2,2,43.6,Junior Developer,4.3,2,4,0.307,6,13.0
Tier 2,8.33,1,1,2,1,3,0,1,1,51.5,Software Engineer,10.37,2,6,0.6219,3,9.5
Tier 3,5.64,1,4,0,2,2,0,1,1,34.4,Web Developer,4.75,1,7,0.2556,3,16.0
Tier 2,6.1,2,3,2,3,2,1,0,1,38.4,Junior Developer,8.3,2,4,0.3244,4,18.5
Tier 3,8.61,1,2,0,4,1,3,1,2,71.3,Data Scientist,23.88,1,2,0.7626,13,14.0
Tier 3,7.1,1,3,0,1,2,0,1,3,43.0,Backend Developer,9.55,1,0,0.4505,5,12.5
Tier 1,8.1,0,3,0,1,1,2,0,1,64.4,Software Engineer,21.99,3,6,0.6723,7,8.5
Tier 3,7.81,1,3,0,0,7,1,2,1,48.1,Web Developer,15.42,1,7,0.5506,8,16.0
Tier 3,4.65,1,1,1,1,2,1,0,0,30.1,Junior Developer,4.7,1,4,0.1321,3,8.5
Tier 1,7.02,0,3,1,1,3,2,1,2,58.8,Junior Developer,8.41,3,4,0.5324,10,10.5
Tier 3,6.04,1,1,1,1,3,1,0,0,54.8,Software Engineer,9.67,1,6,0.4117,3,9.5
Tier 2,6.19,3,2,2,2,2,1,2,0,47.0,Backend Developer,9.86,2,0,0.3823,7,18.0
Tier 1,5.57,1,2,1,0,3,1,0,0,39.5,Junior Developer,5.97,3,4,0.2776,3,10.0
Tier 2,6.27,0,3,2,1,2,0,0,1,45.2,Data Analyst,6.25,2,1,0.3801,1,9.5
Tier 1,5.95,1,2,0,1,4,0,1,1,37.6,Web Developer,4.93,3,7,0.3048,3,12.5
Tier 2,7.55,2,1,1,0,2,0,2,1,51.8,DevOps Engineer,10.37,2,3,0.5456,5,10.0
Tier 1,6.49,1,0,1,1,1,0,0,1,54.6,Junior Developer,6.32,3,4,0.4555,1,5.5
Tier 3,7.12,1,2,0,2,2,0,2,2,59.5,Software Engineer,10.43,1,6,0.5464,6,12.0
Tier 2,7.87,0,2,0,0,3,0,1,1,63.1,DevOps Engineer,10.84,2,3,0.6419,3,7.0
Tier 3,5.64,1,0,2,1,1,1,1,2,45.4,Web Developer,6.15,1,7,0.3182,7,5.5
Tier 3,5.02,2,3,0,2,0,1,1,0,40.3,Junior Developer,4.23,1,4,0.2272,5,15.0
Tier 3,6.21,2,1,1,3,1,1,1,0,44.4,Backend Developer,10.05,1,0,0.3695,5,13.5
Tier 3,7.28,2,2,1,4,2,2,2,1,59.6,Data Scientist,15.93,1,2,0.563,11,18.0
Tier 3,7.52,2,0,1,2,2,0,1,2,58.6,Backend Developer,9.14,1,0,0.5813,4,11.0
Tier 3,6.3,0,1,1,2,3,0,1,0,48.7,Software Engineer,5.94,1,6,0.403,2,8.0
Tier 2,5.49,2,0,0,1,1,0,0,1,38.2,Junior Developer,3.69,2,4,0.2622,1,8.5
Tier 3,6.85,1,2,1,2,5,0,0,1,56.4,DevOps Engineer,6.77,1,3,0.5018,1,15.0
Tier 3,7.18,0,3,1,0,2,1,2,2,48.6,Data Analyst,12.85,1,1,0.4904,9,8.0
Tier 3,6.92,1,1,0,1,2,2,2,1,47.2,Web Developer,9.48,1,7,0.4564,11,8.5
Tier 3,7.81,0,2,1,1,5,1,1,0,47.1,Backend Developer,12.37,1,0,0.5449,5,10.5
Tier 2,7.19,0,3,0,1,1,1,1,1,49.4,DevOps Engineer,16.09,2,3,0.496,6,8.5
Tier 1,7.32,1,1,2,0,2,0,2,1,47.2,Backend Developer,10.58,3,0,0.4964,5,7.0
Tier 3,6.21,2,1,2,1,2,0,2,0,48.2,Web Developer,7.74,1,7,0.3911,4,11.5
Tier 2,6.44,0,3,2,1,1,0,2,0,47.5,Web Developer,8.05,2,7,0.4101,4,8.5
Tier 1,6.58,0,3,3,1,3,3,1,1,67.8,DevOps Engineer,10.06,3,3,0.5397,12,10.5
Tier 1,7.74,5,0,0,0,1,1,2,1,65.5,Web Developer,15.62,3,7,0.6426,8,16.0
Tier 2,6.32,4,2,2,1,3,1,0,1,52.0,Junior Developer,9.05,2,4,0.4237,4,20.5
Tier 3,7.58,0,2,0,2,2,1,2,2,65.0,Backend Developer,15.75,1,0,0.6237,9,9.0
Tier 2,5.94,0,1,0,0,1,0,1,3,40.0,Junior Developer,5.21,2,4,0.3175,5,3.0
Tier 2,8.14,0,1,0,0,2,2,1,0,61.1,Data Scientist,20.99,2,2,0.6575,8,4.0
Tier 3,8.18,1,3,0,2,2,0,4,2,56.5,Web Developer,10.67,1,7,0.6354,10,14.0
Tier 2,8.0,1,2,0,2,3,1,2,3,63.5,Web Developer,15.3,2,7,0.6572,10,13.0
Tier 2,6.56,1,3,4,0,4,1,2,0,43.6,Backend Developer,9.77,2,0,0.4,7,13.0
Tier 1,5.2,3,6,0,0,4,1,0,0,40.0,Junior Developer,5.1,3,4,0.2435,3,25.0
Tier 3,5.83,0,3,1,2,1,0,3,0,32.7,Web Developer,5.09,1,7,0.2649,6,10.0
Tier 2,6.29,0,3,1,2,3,2,1,2,52.0,Web Developer,9.96,2,7,0.4207,10,12.0
Tier 3,6.7,1,4,0,1,2,1,3,1,44.7,DevOps Engineer,10.32,1,3,0.4202,10,14.5
Tier 2,7.09,1,3,1,2,3,1,3,1,50.1,Backend Developer,15.97,2,0,0.4899,10,15.0
Tier 2,8.14,1,3,0,3,0,1,1,2,56.0,Web Developer,14.84,2,7,0.6285,7,13.5
Tier 2,7.79,0,0,0,0,1,2,1,0,61.0,ML Engineer,16.22,2,5,0.622,8,1.0
Tier 2,6.82,1,2,2,0,1,1,4,0,41.4,Backend Developer,10.35,2,0,0.4134,11,8.0
Tier 2,7.58,0,1,0,0,1,2,1,1,65.7,DevOps Engineer,15.62,2,3,0.6277,9,3.0
Tier 1,7.3,2,0,0,4,2,1,0,1,58.2,Data Scientist,15.14,3,2,0.557,4,14.0
Tier 2,5.19,1,3,2,0,2,3,0,1,52.7,Junior Developer,4.66,2,4,0.3147,10,11.0
Tier 3,7.49,0,2,1,3,6,1,1,0,61.3,Data Scientist,14.59,1,2,0.5937,5,14.5
Tier 3,6.71,0,2,0,2,0,2,1,2,63.4,Junior Developer,8.25,1,4,0.5276,10,7.0
Tier 3,6.68,1,1,3,1,1,1,0,2,68.3,DevOps Engineer,10.02,1,3,0.5525,5,7.5
Tier 2,7.06,0,1,1,1,4,0,0,1,50.4,Data Analyst,6.06,2,1,0.4886,1,7.5
Tier 3,6.5,2,1,1,1,3,0,1,1,39.1,Data Analyst,7.73,1,1,0.3683,3,12.5
Tier 1,7.01,0,0,1,2,3,2,0,2,55.7,Data Analyst,13.07,3,1,0.5138,8,6.0
Tier 3,5.0,1,1,0,0,3,0,1,0,40.1,Junior Developer,3.72,1,4,0.224,2,8.0
Tier 3,7.9,4,1,1,1,4,1,1,0,59.4,ML Engineer,14.72,1,5,0.6239,5,19.5
Tier 1,6.2,0,0,1,1,1,0,1,0,43.4,Backend Developer,8.07,3,0,0.3628,2,2.5
Tier 1,7.04,3,4,0,2,2,2,0,0,54.7,Data Scientist,16.84,3,2,0.5111,6,22.0
Tier 2,8.18,0,2,0,1,3,2,1,0,68.7,ML Engineer,22.31,2,5,0.7048,8,8.5
Tier 1,6.62,1,0,1,1,0,2,0,0,53.5,Junior Developer,9.15,3,4,0.4623,6,4.5
Tier 3,6.16,0,1,3,0,1,2,2,0,59.3,Backend Developer,9.41,1,0,0.4493,10,3.0
Tier 1,5.79,0,2,0,3,1,1,0,3,45.5,Junior Developer,5.74,3,4,0.3338,6,9.5
Tier 2,7.34,0,0,1,3,2,1,0,2,44.2,Data Analyst,13.35,2,1,0.4814,5,6.5
Tier 2,10.0,0,2,0,1,2,2,1,3,79.1,Data Scientist,24.24,2,2,0.9459,11,7.5
Tier 1,5.52,1,1,1,1,2,1,1,0,28.3,Junior Developer,5.95,3,4,0.2089,5,8.5
Tier 3,8.82,0,3,1,1,1,1,5,0,70.1,Backend Developer,17.63,1,0,0.7767,13,8.5
Tier 2,10.0,1,2,0,3,2,2,1,3,77.2,Data Scientist,24.1,2,2,0.9351,11,13.5
Tier 1,7.42,2,0,0,2,1,0,1,0,53.1,DevOps Engineer,10.3,3,3,0.54,2,10.0
Tier 2,6.86,2,0,0,4,0,0,1,3,51.5,Data Analyst,7.67,2,1,0.4749,5,12.0
Tier 1,4.88,1,1,0,3,2,2,0,1,39.3,Junior Developer,5.06,3,4,0.2075,7,11.5
Tier 2,6.43,3,0,0,0,0,1,2,0,38.9,Backend Developer,9.69,2,0,0.3602,7,9.0
Tier 1,7.68,1,2,1,1,0,0,1,1,66.8,Backend Developer,10.88,3,0,0.644,3,8.5
Tier 2,6.44,0,2,3,0,3,0,2,1,52.8,Backend Developer,7.58,2,0,0.4403,5,7.0
Tier 1,8.21,2,3,1,0,1,1,1,0,66.4,Data Scientist,24.28,3,2,0.6947,5,13.0
Tier 2,7.0,2,2,2,2,2,1,0,2,49.9,Data Scientist,15.93,2,2,0.4798,5,15.0
Tier 2,7.05,1,6,0,0,4,1,0,2,41.6,Data Analyst,13.17,2,1,0.4376,5,19.0
Tier 2,5.62,1,1,2,0,1,0,1,3,39.6,Junior Developer,4.64,2,4,0.2832,5,6.0
Tier 1,8.46,3,3,1,0,3,2,0,2,67.8,ML Engineer,23.64,3,5,0.7277,8,18.0
Tier 3,5.99,0,5,2,2,3,2,1,1,55.0,Junior Developer,6.04,1,4,0.4078,9,16.0
Tier 1,7.7,1,3,0,1,1,2,1,1,55.8,Backend Developer,15.38,3,0,0.5834,9,11.5
Tier 2,6.63,2,0,0,1,0,2,0,0,62.0,Junior Developer,9.02,2,4,0.5116,6,7.5
Tier 2,6.86,2,5,2,0,3,1,1,1,39.9,Data Analyst,9.71,2,1,0.4089,6,19.0
Tier 2,7.39,1,2,0,1,1,0,1,0,56.0,Web Developer,10.19,2,7,0.5535,2,9.5
Tier 2,6.92,1,3,1,1,2,1,1,1,53.5,Data Analyst,9.63,2,1,0.4923,6,12.5
Tier 1,7.3,0,2,0,3,2,1,2,0,43.5,Backend Developer,16.18,3,0,0.4734,7,10.5
Tier 3,4.86,0,2,0,1,2,1,1,1,36.7,Junior Developer,4.3,1,4,0.1907,6,7.5
Tier 2,6.04,1,2,2,1,5,0,1,1,45.1,Data Analyst,8.07,2,1,0.3565,3,13.5
Tier 1,5.46,0,1,1,1,3,1,0,2,44.1,Junior Developer,4.34,3,4,0.2928,5,6.5
Tier 2,6.89,1,4,2,3,2,2,2,0,51.8,Software Engineer,9.69,2,6,0.4796,10,17.5
Tier 3,7.86,2,0,0,1,1,0,2,1,57.0,DevOps Engineer,9.2,1,3,0.6062,5,8.5
Tier 3,8.88,4,4,0,0,4,1,0,2,57.2,DevOps Engineer,19.6,1,3,0.7093,5,24.0
Tier 3,4.6,1,2,0,2,2,0,1,0,41.6,Junior Developer,4.26,1,4,0.1926,2,12.0
Tier 3,7.25,0,3,1,1,2,0,2,0,42.9,Software Engineer,8.53,1,6,0.465,4,9.5
Tier 1,7.87,5,1,0,0,2,1,2,2,58.2,Software Engineer,15.99,3,6,0.614,9,19.0
Tier 3,6.46,1,1,0,1,2,0,2,1,46.9,Backend Developer,7.98,1,0,0.4087,5,8.5
Tier 2,7.79,1,4,0,0,2,2,1,0,59.2,Data Scientist,16.21,2,2,0.6117,8,13.0
Tier 2,7.99,0,3,0,3,3,1,2,2,57.4,DevOps Engineer,16.24,2,3,0.6215,9,13.5
Tier 3,5.79,2,3,2,2,5,0,1,1,44.6,Web Developer,4.28,1,7,0.3286,3,20.0
Tier 3,7.85,1,0,1,1,2,1,1,1,59.6,Data Scientist,12.45,1,2,0.62,6,6.5
Tier 3,8.5,1,1,1,0,1,0,1,1,56.8,Data Analyst,7.72,1,1,0.6691,3,6.0
Tier 2,7.67,1,0,0,3,4,1,1,0,55.2,Backend Developer,15.85,2,0,0.577,5,11.5
Tier 3,7.38,2,0,2,2,3,2,1,0,58.6,Software Engineer,14.55,1,6,0.5673,8,12.0
Tier 2,5.61,0,2,0,3,1,1,1,2,41.4,Junior Developer,5.85,2,4,0.2924,7,9.5
Tier 1,7.19,1,1,1,1,1,1,1,1,50.4,Web Developer,15.64,3,7,0.5016,6,7.5
Tier 2,6.78,2,2,1,0,0,1,1,0,60.6,Backend Developer,10.47,2,0,0.5187,5,10.0
Tier 3,8.06,3,2,0,0,2,0,1,0,50.8,Backend Developer,10.03,1,0,0.5909,2,15.0
Tier 2,5.72,2,2,0,3,1,0,1,0,27.6,Junior Developer,4.34,2,4,0.2249,2,15.5
Tier 2,7.43,2,1,0,2,3,1,1,1,56.2,Backend Developer,15.15,2,0,0.5586,6,14.0
Tier 1,5.67,1,5,0,1,4,0,2,1,24.3,Junior Developer,4.24,3,4,0.2011,5,18.5
Tier 2,10.0,0,4,0,3,1,0,0,1,66.0,DevOps Engineer,6.16,2,3,0.8714,1,13.5
Tier 2,4.83,1,0,1,3,1,0,1,1,47.7,Junior Developer,3.84,2,4,0.2503,3,8.5
Tier 3,7.99,0,3,1,1,1,1,2,1,65.5,Data Analyst,13.11,1,1,0.6676,8,8.5
Tier 3,6.65,1,1,0,1,1,0,0,1,46.7,DevOps Engineer,6.21,1,3,0.4266,1,7.5
Tier 3,6.49,0,0,2,1,1,0,3,2,41.4,Junior Developer,6.22,1,4,0.3804,8,2.5
Tier 2,7.5,2,1,0,2,3,2,1,1,64.8,Data Scientist,16.03,2,2,0.6146,9,14.0
Tier 1,7.59,0,3,1,1,2,1,0,2,53.8,Data Analyst,13.14,3,1,0.561,5,9.5
Tier 2,7.92,0,2,1,0,3,2,1,1,57.0,Data Analyst,13.45,2,1,0.6122,9,7.0
Tier 2,6.55,1,3,0,2,2,2,2,0,47.0,Web Developer,11.02,2,7,0.4183,10,14.0
Tier 3,6.63,1,2,2,2,3,2,2,0,56.2,Backend Developer,10.48,1,0,0.4786,10,13.0
Tier 3,6.95,1,2,1,1,2,2,1,1,46.1,Junior Developer,8.6,1,4,0.4532,9,10.5
Tier 2,6.81,1,3,1,3,2,0,2,1,65.3,Web Developer,7.7,2,7,0.5484,5,15.5
Tier 3,6.33,1,4,1,1,2,2,0,1,60.6,Junior Developer,8.93,1,4,0.4737,7,14.5
Tier 3,6.98,2,3,2,0,2,0,0,1,44.4,DevOps Engineer,6.29,1,3,0.4465,1,14.0
Tier 2,7.27,0,2,1,1,1,1,2,0,54.7,Backend Developer,16.29,2,0,0.5341,7,6.5
Tier 2,6.49,0,1,2,0,1,1,1,2,52.3,Data Analyst,9.65,2,1,0.4425,7,3.0
Tier 1,8.16,2,2,1,1,2,1,1,0,75.2,Data Scientist,23.71,3,2,0.7398,5,13.5
Tier 2,6.61,2,2,0,1,6,1,1,0,60.1,Backend Developer,9.91,2,0,0.4988,5,17.5
Tier 1,5.53,0,1,0,5,1,0,2,1,40.6,Web Developer,4.59,3,7,0.2799,5,10.5
Tier 2,8.68,2,1,0,5,1,2,2,2,63.7,DevOps Engineer,20.11,2,3,0.7263,12,16.5
Tier 1,5.77,1,4,0,0,2,1,1,1,33.4,Web Developer,5.96,3,7,0.2629,6,13.0
Tier 3,6.21,1,2,2,0,2,1,1,2,45.0,Software Engineer,9.81,1,6,0.3729,7,9.0
Tier 3,4.42,3,0,2,0,1,0,2,1,26.3,Junior Developer,3.37,1,4,0.0875,5,10.0
Tier 1,6.51,0,3,1,1,2,1,0,0,44.6,Software Engineer,9.79,3,6,0.4006,3,9.5
Tier 1,6.76,1,5,1,4,3,1,1,3,47.9,Data Analyst,9.95,3,1,0.4444,8,22.0
Tier 2,7.75,0,0,2,0,2,0,3,1,60.3,Backend Developer,10.17,2,0,0.614,7,2.0
Tier 2,7.72,1,3,0,2,1,1,0,1,58.2,Data Analyst,13.67,2,1,0.599,4,13.0
Tier 2,7.92,2,1,0,0,1,3,1,1,73.0,Data Scientist,15.6,2,2,0.7032,12,9.0
Tier 2,7.98,1,0,0,0,3,1,1,0,47.7,Software Engineer,15.84,2,6,0.5653,5,6.0
Tier 3,7.75,0,4,0,1,2,1,2,2,55.6,Web Developer,15.32,1,7,0.5872,9,11.5
Tier 2,7.51,2,1,0,1,3,1,2,2,44.8,Backend Developer,15.91,2,0,0.5018,9,12.5
Tier 1,9.32,0,2,0,1,1,2,1,1,68.5,Data Scientist,24.7,3,2,0.8176,9,6.5
Tier 2,7.85,0,4,0,1,2,0,0,1,60.7,Data Analyst,7.06,2,1,0.6263,1,11.5
Tier 3,6.64,3,4,0,2,4,0,1,0,52.5,Backend Developer,8.2,1,0,0.4586,2,24.0
Tier 1,4.7,0,2,0,3,3,2,1,1,37.5,Junior Developer,4.59,3,4,0.1792,9,11.5
Tier 1,7.83,1,6,1,2,0,2,3,0,60.5,Data Scientist,16.08,3,2,0.6231,12,18.0
Tier 2,8.49,1,1,2,1,2,2,1,1,65.3,Software Engineer,21.37,2,6,0.7164,9,8.5
Tier 3,6.38,1,2,0,1,1,2,1,2,51.0,Backend Developer,9.79,1,0,0.4241,10,9.5
Tier 2,6.92,1,2,1,1,2,0,1,2,42.2,Web Developer,7.55,2,7,0.428,4,10.5
Tier 2,7.54,2,4,0,2,1,0,1,2,49.6,Backend Developer,10.3,2,0,0.5321,4,18.0
Tier 2,6.05,2,4,1,1,2,0,1,0,44.4,Backend Developer,8.32,2,0,0.3535,2,17.5
Tier 3,5.02,0,1,1,0,3,0,1,2,41.5,Junior Developer,3.69,1,4,0.234,4,5.0
Tier 1,7.83,1,1,0,2,2,0,0,1,53.9,Data Analyst,6.55,3,1,0.5856,1,10.0
Tier 2,7.18,0,0,0,1,3,1,1,1,60.2,Software Engineer,15.79,2,6,0.5564,6,4.5
Tier 2,6.48,0,1,0,1,1,0,1,0,48.8,Junior Developer,8.19,2,4,0.4215,2,4.5
Tier 2,7.58,1,2,0,0,1,0,2,2,51.5,Backend Developer,10.75,2,0,0.5469,6,8.0
Tier 3,8.01,0,2,0,1,2,1,2,0,67.2,Backend Developer,14.67,1,0,0.6792,7,7.5
