college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,salary_log
Tier 3,7.09,1,4,0,1,2,2,3,0,60.6,Software Engineer,16.01,1,6,2.8338014064077703
Tier 1,6.14,1,1,1,5,1,0,1,1,51.0,Junior Developer,7.92,3,4,2.188295946591918
Tier 1,9.28,1,2,1,2,3,0,0,1,65.3,Web Developer,6.29,3,7,1.986503546020567
Tier 3,8.12,2,4,2,2,0,1,1,1,55.4,Data Analyst,13.1,1,1,2.6461747973841225
Tier 3,6.56,0,1,0,0,0,2,1,2,50.1,Software Engineer,10.15,1,6,2.411439497906128
Tier 3,5.05,3,1,1,1,4,1,0,0,41.4,Junior Developer,4.77,1,4,1.7526720805200082
Tier 2,6.92,2,4,2,1,2,0,0,1,49.3,Data Analyst,6.3,2,1,1.9878743481543455
Tier 2,5.66,0,5,0,1,2,1,2,1,63.3,Junior Developer,6.23,2,4,1.9782390361706734
Tier 2,6.68,2,2,0,1,2,2,1,2,60.0,Software Engineer,9.59,2,6,2.359910159613315
Tier 1,6.74,3,5,1,2,0,2,1,1,50.6,DevOps Engineer,9.81,3,3,2.3804716316511167
Tier 1,9.73,1,4,1,4,3,1,2,1,77.8,Software Engineer,21.48,3,6,3.1126260250254902
Tier 3,6.52,0,3,1,0,5,0,1,0,53.4,Backend Developer,7.59,1,0,2.150598735996164
Tier 1,7.84,0,2,1,3,2,1,2,1,63.2,Software Engineer,15.73,3,6,2.8172035149987327
Tier 2,7.42,4,2,1,1,1,1,2,2,61.8,DevOps Engineer,15.7,2,3,2.8154087194227095
Tier 1,5.85,2,2,0,2,2,0,1,1,41.8,Junior Developer,4.51,3,4,1.706564623164823
Tier 1,4.89,0,1,2,0,5,0,1,0,44.8,Junior Developer,3.83,3,4,1.5748464676644813
Tier 3,5.65,3,1,1,1,3,0,1,1,30.3,Junior Developer,4.68,1,4,1.7369512327330598
Tier 3,7.12,0,1,2,1,3,2,0,1,49.7,Software Engineer,12.43,1,6,2.5974910105351463
Tier 3,8.44,1,1,0,2,1,1,1,0,54.5,Data Scientist,13.11,1,2,2.6468837658647226
Tier 3,7.11,1,6,0,0,2,1,1,1,61.7,Data Analyst,13.42,1,1,2.668616131856803
Tier 2,7.25,1,2,0,3,2,2,1,0,62.4,Data Scientist,15.69,2,2,2.8148097376737438
Tier 2,7.2,0,1,1,1,3,1,1,0,58.3,Backend Developer,15.28,2,0,2.7899373605743945
Tier 2,6.9,1,1,0,2,1,0,1,1,48.2,DevOps Engineer,7.86,2,3,2.1815467646169897
Tier 2,6.53,1,1,1,2,0,1,0,2,42.7,Junior Developer,9.19,2,4,2.321406847234633
Tier 2,8.12,0,2,1,3,3,1,0,2,51.7,Data Scientist,18.0,2,2,2.9444389791664403
Tier 1,5.29,1,4,3,1,2,1,1,0,34.2,Junior Developer,4.77,3,4,1.7526720805200082
Tier 1,5.56,1,3,2,2,1,0,0,1,51.6,Junior Developer,4.62,3,4,1.7263316639055997
Tier 2,7.33,4,1,0,1,3,2,1,1,57.6,Software Engineer,16.03,2,6,2.834976494674597
Tier 3,6.6,1,0,1,1,2,0,1,1,48.2,DevOps Engineer,6.39,1,3,2.0001277349601105
Tier 2,6.46,0,0,0,2,1,2,0,1,41.4,Backend Developer,9.66,2,0,2.3664984187376983
Tier 1,7.34,2,0,0,1,0,1,1,1,55.9,Backend Developer,15.43,3,0,2.799108932049177
Tier 3,6.06,0,2,2,1,2,2,1,1,62.7,Software Engineer,9.71,1,6,2.3711778844596574
Tier 2,8.3,1,2,0,3,3,1,0,1,61.9,Data Analyst,12.76,2,1,2.6217658325051976
Tier 3,8.24,0,3,1,0,3,0,1,2,59.2,Backend Developer,9.22,1,0,2.3243465847755584
Tier 3,6.98,0,1,0,3,3,1,3,1,48.8,Backend Developer,10.23,1,0,2.418588768750352
Tier 2,8.0,3,3,0,2,3,0,2,1,67.5,DevOps Engineer,10.41,2,3,2.4344901638739844
Tier 2,9.4,1,2,0,1,4,2,2,1,76.9,Data Scientist,24.34,2,2,3.232384174892993
Tier 1,5.64,2,3,1,1,2,1,2,1,32.4,Junior Developer,6.25,3,4,1.9810014688665833
Tier 2,6.34,0,5,1,2,1,1,0,2,42.5,Backend Developer,9.72,2,0,2.372111155642656
Tier 2,6.97,1,1,0,2,5,0,2,1,46.3,Web Developer,7.74,2,7,2.167910189667444
Tier 3,7.73,2,0,0,0,1,1,2,2,57.2,Web Developer,14.33,1,7,2.7298116928837226
Tier 2,8.08,0,1,2,1,4,1,2,3,59.7,Backend Developer,17.59,2,0,2.922623801733353
Tier 3,7.81,1,2,0,2,3,1,1,1,57.7,Data Scientist,15.02,1,2,2.7738379416402132
Tier 2,8.35,1,1,1,0,2,0,0,1,55.9,DevOps Engineer,7.13,2,3,2.0955609235597192
Tier 1,5.99,4,1,1,2,2,1,1,0,53.0,Junior Developer,6.74,3,4,2.046401687601636
Tier 2,8.25,0,3,0,3,4,0,0,2,54.4,Data Analyst,6.56,2,1,2.0228711901914416
Tier 3,7.53,0,3,1,1,2,0,2,0,60.0,Backend Developer,8.72,1,0,2.2741856184723477
Tier 2,7.75,1,6,0,3,2,0,0,2,29.9,DevOps Engineer,6.07,2,3,1.9558604799084813
Tier 3,4.87,3,0,2,0,1,1,1,2,45.0,Junior Developer,5.06,1,4,1.801709800081223
Tier 2,7.45,4,2,1,2,0,2,0,2,57.3,Data Scientist,15.95,2,2,2.830267833826459
Tier 2,8.61,0,1,0,1,1,0,1,1,60.8,Web Developer,10.44,2,7,2.437115985951652
Tier 2,5.85,1,3,2,6,3,0,2,1,41.9,Junior Developer,4.82,2,4,1.7613002617433464
Tier 2,6.35,1,1,1,2,3,1,0,3,53.4,Junior Developer,8.82,2,4,2.2844211223663744
Tier 2,8.41,1,1,0,3,3,2,4,0,61.9,Web Developer,15.17,2,7,2.783157673589016
Tier 3,7.59,0,3,0,3,2,3,0,2,79.4,Data Analyst,13.17,1,1,2.6511270537025893
Tier 2,7.39,0,1,2,0,0,1,1,1,38.1,Web Developer,12.46,2,7,2.599722324216582
Tier 2,7.36,2,4,0,0,3,1,2,0,54.9,Data Scientist,15.52,2,2,2.804571768092832
Tier 1,6.64,0,3,0,1,0,1,2,2,49.1,Data Analyst,9.81,3,1,2.3804716316511167
Tier 2,7.26,2,3,1,3,2,3,1,0,63.2,Data Scientist,16.28,2,2,2.8495497633759097
Tier 3,6.24,2,3,2,3,1,2,2,1,51.4,Web Developer,9.77,1,7,2.3767644911682972
Tier 3,5.94,1,3,3,3,5,2,1,1,50.2,Junior Developer,5.81,1,4,1.918392120161421
Tier 3,6.67,2,2,1,3,2,2,1,2,54.3,DevOps Engineer,10.36,1,3,2.4300984132930052
Tier 2,7.35,1,1,0,3,1,1,0,3,71.2,Data Analyst,12.94,2,1,2.6347624053323777
Tier 2,7.03,2,0,0,2,6,1,2,1,65.9,Web Developer,15.7,2,7,2.8154087194227095
Tier 1,7.86,0,1,2,1,4,0,0,1,44.1,Backend Developer,6.57,3,0,2.0241930674493576
Tier 2,7.04,0,5,0,1,4,1,1,0,58.3,Backend Developer,16.28,2,0,2.8495497633759097
Tier 1,7.28,3,3,0,1,1,0,0,3,53.4,Data Analyst,6.54,3,1,2.020222182019865
Tier 2,6.4,1,1,1,1,4,1,2,2,54.5,Junior Developer,8.99,2,4,2.301584592660462
Tier 2,8.16,2,3,0,0,4,1,1,1,67.5,Backend Developer,17.89,2,0,2.9386326815134183
Tier 2,6.41,2,6,2,1,0,1,0,0,45.5,Software Engineer,10.5,2,6,2.4423470353692043
Tier 2,8.29,3,1,0,2,1,1,1,0,57.4,Backend Developer,17.33,2,0,2.9085390618516134
Tier 2,8.59,1,1,0,0,4,2,2,1,68.5,Software Engineer,21.72,2,6,3.1232455938529506
Tier 3,4.0,3,1,1,0,3,0,2,0,36.1,Junior Developer,3.84,1,4,1.5769147207285403
Tier 3,7.09,2,3,0,4,1,3,0,0,62.0,Data Scientist,15.75,1,2,2.8183982582710754
Tier 3,5.73,1,0,3,2,2,0,1,0,35.8,Junior Developer,4.7,1,4,1.7404661748405046
Tier 2,7.95,1,2,0,1,3,1,0,0,51.8,Data Scientist,15.79,2,2,2.8207834710894493
Tier 2,7.53,1,1,0,2,2,2,1,1,45.4,ML Engineer,16.11,2,5,2.839663087904102
Tier 2,9.1,1,2,1,3,1,2,0,1,75.5,Data Scientist,23.71,2,2,3.2072080200005186
Tier 3,8.66,1,4,0,0,1,1,2,1,67.5,DevOps Engineer,19.91,1,3,3.0402275134405423
Tier 2,7.02,1,3,0,1,1,0,0,2,44.3,Data Analyst,6.21,2,1,1.9754689512968577
Tier 3,8.19,0,2,1,0,3,2,1,0,69.3,Software Engineer,15.24,1,6,2.787477334733532
Tier 3,5.21,0,2,1,1,5,1,1,0,36.7,Junior Developer,4.18,1,4,1.6448050562713916
Tier 2,7.96,0,2,1,0,3,1,0,1,56.2,ML Engineer,16.37,2,5,2.854744580253014
Tier 3,6.84,0,6,1,3,3,0,1,0,41.9,Web Developer,7.99,1,7,2.196112848483529
Tier 2,5.06,0,1,0,2,3,0,3,0,34.3,Junior Developer,3.54,2,4,1.5129270120532565
Tier 2,6.93,0,0,1,3,0,0,1,0,33.4,Backend Developer,7.2,2,0,2.1041341542702074
Tier 2,5.58,2,1,0,0,1,1,0,1,55.4,Junior Developer,5.77,2,4,1.9125010869241836
Tier 3,4.86,1,1,0,2,0,2,0,0,35.8,Junior Developer,4.4,1,4,1.6863989535702288
Tier 3,7.7,0,2,0,3,2,3,1,1,57.9,ML Engineer,15.99,1,5,2.8326249356838407
Tier 3,6.86,2,3,1,2,2,0,3,1,48.7,Junior Developer,7.48,1,4,2.1377104498038118
Tier 2,9.93,2,2,1,2,1,2,0,1,74.7,ML Engineer,29.22,2,5,3.4085039568445934
Tier 2,6.8,1,5,1,1,5,1,1,1,47.4,DevOps Engineer,9.29,2,3,2.331172549845958
Tier 3,7.36,3,4,0,0,3,1,2,1,42.1,Junior Developer,8.5,1,4,2.2512917986064953
Tier 1,6.5,3,1,2,6,2,1,1,3,49.6,DevOps Engineer,10.53,3,3,2.4449523342809676
Tier 3,6.02,1,2,0,1,2,3,0,0,52.5,Junior Developer,9.01,1,4,2.303584593327129
Tier 2,8.15,0,0,2,1,1,1,0,1,56.8,Software Engineer,13.4,2,6,2.667228206581955
Tier 2,4.0,1,2,1,3,0,0,2,2,23.1,Junior Developer,3.76,2,4,1.5602476682433286
Tier 3,7.16,2,5,0,2,0,0,0,2,49.8,Junior Developer,6.01,1,4,1.9473377010464987
Tier 3,6.33,1,0,2,3,2,0,3,1,49.2,Backend Developer,8.1,1,0,2.2082744135228043
Tier 2,5.92,0,1,2,3,3,0,3,0,37.7,Junior Developer,4.9,2,4,1.7749523509116738
Tier 1,9.14,1,2,1,0,2,2,0,3,83.0,Data Analyst,13.34,3,1,2.663052835171474
Tier 1,7.94,1,2,0,1,4,2,0,2,71.5,Data Analyst,13.03,3,1,2.6411978941143697
Tier 2,7.48,1,1,0,3,1,2,1,2,59.9,Data Scientist,15.66,2,2,2.8130106367386967
Tier 2,6.07,2,2,1,0,3,1,3,1,46.0,Web Developer,9.6,2,7,2.3608540011180215
Tier 3,6.03,1,1,1,2,0,1,0,0,57.6,Junior Developer,8.7,1,4,2.272125885509337
Tier 2,5.9,1,2,0,2,1,1,2,1,42.2,Web Developer,6.33,2,7,1.9919755158985601
Tier 2,5.58,0,0,1,3,2,1,1,1,45.1,Web Developer,6.39,2,7,2.0001277349601105
Tier 3,6.07,0,2,0,1,2,1,2,2,46.0,Software Engineer,10.28,1,6,2.423031246069913
Tier 2,8.81,1,2,3,1,1,0,1,1,57.3,Data Analyst,10.09,2,1,2.4060438013622756
Tier 2,8.19,0,2,0,1,3,1,1,1,58.0,Data Scientist,19.61,2,2,3.0257763949023677
Tier 2,6.14,0,2,0,1,1,1,0,0,58.0,Software Engineer,9.24,2,6,2.3263016196113617
Tier 2,5.79,0,0,1,2,3,0,1,2,27.6,Web Developer,4.67,2,7,1.7351891177396608
Tier 2,8.21,3,0,1,2,2,1,0,3,58.9,Data Scientist,19.5,2,2,3.0204248861443626
Tier 3,6.43,0,0,0,1,0,1,3,1,54.8,Backend Developer,9.72,1,0,2.372111155642656
Tier 3,5.22,0,2,2,0,2,2,1,1,47.2,Junior Developer,4.71,1,4,1.742219023667919
Tier 2,7.87,0,3,1,2,0,1,2,1,63.9,DevOps Engineer,15.93,2,3,2.829087196145044
Tier 3,6.97,1,2,0,0,2,1,0,0,50.3,Junior Developer,8.63,1,4,2.2648832258100344
Tier 1,5.52,1,1,2,2,0,0,1,0,45.0,Junior Developer,4.71,3,4,1.742219023667919
Tier 1,7.13,1,6,0,2,1,0,0,1,59.7,Data Analyst,5.87,3,1,1.927164106234258
Tier 2,9.16,0,2,0,2,1,2,1,1,72.0,Data Analyst,13.14,2,1,2.6490076604684267
Tier 3,7.71,2,1,0,1,2,1,0,1,45.2,Data Analyst,12.32,1,1,2.589266665112243
Tier 1,7.2,1,1,1,2,2,3,0,0,66.7,Data Scientist,15.88,3,2,2.826129489167811
Tier 1,7.04,2,4,0,2,3,0,0,1,47.1,Junior Developer,6.57,3,4,2.0241930674493576
Tier 2,7.87,0,3,0,1,6,2,2,1,63.5,ML Engineer,16.56,2,5,2.8656235882069705
Tier 2,8.76,0,5,0,2,3,2,0,2,74.8,Data Scientist,24.1,2,2,3.2228678461377385
Tier 1,6.54,2,3,1,5,7,0,1,2,47.8,Junior Developer,8.33,3,4,2.2332350148592526
Tier 1,6.32,1,4,1,1,2,1,1,0,47.3,Backend Developer,10.2,3,0,2.4159137783010487
Tier 3,4.52,1,2,0,1,0,1,1,2,44.5,Junior Developer,4.07,1,4,1.623340817603092
Tier 3,6.6,1,1,0,1,0,2,1,1,50.0,Web Developer,10.24,1,7,2.419478844465545
Tier 1,6.82,5,1,2,2,2,1,3,1,55.0,Backend Developer,10.11,3,0,2.4078456036515385
Tier 3,6.65,1,2,0,2,4,0,1,1,49.0,Backend Developer,7.85,1,0,2.180417459019838
Tier 1,5.89,1,0,0,5,3,0,0,1,47.4,Junior Developer,4.47,3,4,1.6992786164338898
Tier 1,6.73,1,2,0,0,1,0,0,1,49.7,Data Analyst,6.84,3,1,2.0592388343623163
Tier 1,5.65,0,2,3,4,2,0,2,1,48.3,Web Developer,4.88,3,7,1.7715567619105355
Tier 1,5.98,0,2,1,0,4,1,2,0,42.4,Web Developer,5.98,3,7,1.9430489167742813
Tier 3,5.44,3,1,1,0,2,0,1,0,35.4,Junior Developer,3.35,1,4,1.4701758451005926
Tier 1,4.91,0,0,0,1,1,1,2,0,45.2,Junior Developer,4.33,3,4,1.673351238177753
Tier 1,6.42,0,3,0,2,1,0,1,0,53.6,Backend Developer,8.07,3,0,2.2049722641270453
Tier 2,7.23,0,1,0,4,1,3,0,1,75.4,Data Scientist,15.88,2,2,2.826129489167811
Tier 2,6.73,2,0,2,2,3,3,0,2,63.5,DevOps Engineer,10.4,2,3,2.4336133554004498
Tier 3,6.46,1,3,0,2,3,1,2,1,46.7,Software Engineer,9.86,1,6,2.3850863145057892
Tier 3,6.26,2,1,1,0,3,1,0,0,35.9,Junior Developer,8.44,1,4,2.244955980157409
Tier 1,6.4,1,4,3,2,1,0,2,2,37.2,Junior Developer,7.7,3,4,2.163323025660538
Tier 2,7.43,1,0,0,2,1,0,0,2,51.0,Data Analyst,6.52,2,1,2.017566137961748
Tier 3,8.14,2,4,1,0,2,2,1,1,62.2,Software Engineer,18.37,1,6,2.9637254774189046
Tier 3,6.25,1,2,1,1,2,0,0,1,45.7,Data Analyst,6.17,1,1,1.969905654611529
Tier 2,7.05,0,0,2,6,2,1,1,1,54.6,Data Scientist,15.24,2,2,2.787477334733532
Tier 1,7.61,0,2,0,2,0,1,0,0,65.2,ML Engineer,15.52,3,5,2.804571768092832
Tier 2,8.79,1,3,0,1,1,1,2,0,64.0,Web Developer,15.98,2,7,2.8320361808832013
Tier 2,7.84,0,2,1,1,2,0,0,1,61.9,Backend Developer,6.26,2,0,1.9823798288367047
Tier 2,5.87,1,3,2,1,5,0,0,1,42.1,Junior Developer,4.4,2,4,1.6863989535702288
Tier 2,6.81,0,3,1,3,0,0,2,0,50.0,Software Engineer,7.76,2,6,2.1701959049483
Tier 1,8.67,1,3,0,3,3,0,3,1,56.1,Software Engineer,10.19,3,6,2.4150205223238337
Tier 2,5.57,0,3,1,0,2,1,0,1,41.6,Junior Developer,5.55,2,4,1.8794650496471605
Tier 3,8.47,1,5,1,2,1,1,1,3,57.5,DevOps Engineer,14.99,1,3,2.771963526845863
Tier 3,9.53,0,1,0,4,1,0,1,1,68.7,Backend Developer,10.55,1,0,2.446685436967803
Tier 2,7.88,1,1,1,3,1,1,0,0,66.6,Software Engineer,15.8,2,6,2.8213788864092133
Tier 3,7.41,2,3,0,1,3,0,1,1,46.3,Web Developer,9.64,1,7,2.3646204839134985
Tier 2,5.88,1,2,3,2,3,1,1,1,45.8,Junior Developer,6.15,2,4,1.9671123567059163
Tier 3,5.4,1,3,0,3,3,0,1,2,35.8,Junior Developer,4.29,1,4,1.665818245870208
Tier 3,7.45,2,3,0,0,2,1,1,1,58.4,Data Scientist,14.86,1,2,2.7638002162067017
Tier 2,8.51,3,2,0,0,5,1,2,3,63.4,Backend Developer,17.67,2,0,2.9269179575536315
Tier 2,6.52,3,2,1,0,0,2,1,0,56.6,Backend Developer,9.79,2,0,2.378619779270043
Tier 3,7.52,1,4,0,2,3,0,3,1,51.9,Web Developer,10.42,1,7,2.435366204227864
Tier 3,5.11,2,4,2,2,3,1,1,2,32.9,Junior Developer,4.46,1,4,1.6974487897568136
Tier 1,6.78,2,4,0,2,3,1,2,0,45.0,Web Developer,9.87,3,7,2.386006701133118
Tier 3,4.85,0,2,0,2,1,1,1,1,40.8,Junior Developer,4.73,1,4,1.7457155307266483
Tier 1,6.6,2,5,0,1,4,1,1,0,51.8,Backend Developer,9.87,3,0,2.386006701133118
Tier 2,7.38,0,6,0,5,3,1,3,1,60.5,Backend Developer,16.13,2,0,2.8408313123360287
Tier 2,8.41,1,0,0,0,1,1,0,0,60.9,Data Scientist,15.75,2,2,2.8183982582710754
Tier 2,8.11,2,5,1,1,2,2,1,2,64.0,ML Engineer,24.05,2,5,3.2208738275308737
Tier 2,8.2,3,3,0,1,1,2,1,1,55.5,Backend Developer,17.44,2,0,2.914522218128448
Tier 2,6.22,0,2,1,1,2,2,0,1,52.2,Backend Developer,9.85,2,0,2.3841650799864684
Tier 2,6.71,0,2,2,2,2,1,0,1,39.8,Data Analyst,10.12,2,1,2.4087452888224363
Tier 3,8.42,1,2,1,0,4,1,3,1,71.1,Web Developer,16.13,1,7,2.8408313123360287
Tier 1,5.4,3,4,0,1,1,1,2,0,41.6,Junior Developer,5.01,3,4,1.7934247485471162
Tier 1,7.1,2,2,2,2,4,1,1,0,51.7,Software Engineer,16.18,3,6,2.8437459165561094
Tier 1,8.97,2,4,1,2,1,0,1,0,55.6,Software Engineer,10.3,3,6,2.424802725718295
Tier 1,5.28,1,4,1,0,2,1,2,1,57.9,Junior Developer,4.95,3,4,1.7833912195575383
Tier 2,5.6,2,1,1,3,1,1,2,1,50.6,Web Developer,5.86,2,7,1.925707441737794
Tier 3,5.48,0,0,1,2,1,0,1,1,35.4,Junior Developer,3.36,1,4,1.4724720573609429
Tier 3,8.74,0,0,0,0,1,0,0,2,62.3,DevOps Engineer,6.67,1,3,2.0373166153791646
Tier 3,6.77,1,1,0,3,1,2,1,1,58.6,Junior Developer,8.97,1,4,2.299580583973747
Tier 3,9.09,1,2,0,1,1,2,0,0,61.5,ML Engineer,18.2,1,5,2.954910279033736
Tier 2,7.23,1,0,1,3,1,2,1,1,58.6,DevOps Engineer,15.89,2,3,2.826721730819709
Tier 2,5.48,0,1,0,1,2,0,1,1,47.9,Junior Developer,3.61,2,4,1.528227857008557
Tier 3,7.68,2,3,1,0,2,0,1,1,50.8,DevOps Engineer,9.04,1,3,2.306577114263583
Tier 1,7.29,2,2,0,1,3,1,0,0,41.7,Software Engineer,16.22,3,6,2.8460714989995846
Tier 2,6.33,0,1,1,0,3,1,0,2,35.4,Data Analyst,9.97,2,1,2.395164274287139
Tier 2,7.91,1,2,1,1,0,1,2,1,63.0,Web Developer,15.96,2,7,2.830857630363757
Tier 3,6.74,0,3,1,2,1,1,3,1,49.6,DevOps Engineer,9.89,1,3,2.387844936944869
Tier 3,6.41,1,1,2,1,3,0,1,1,36.9,Junior Developer,6.14,1,4,1.965712776351493
Tier 3,7.47,0,3,4,1,4,1,2,0,42.6,Software Engineer,11.88,1,6,2.5556757206762075
Tier 3,5.82,1,0,0,1,4,1,1,1,49.3,Junior Developer,6.39,1,4,2.0001277349601105
Tier 2,7.06,0,3,0,3,1,3,2,0,51.5,Data Scientist,15.61,2,2,2.8100049236252036
Tier 2,6.97,1,1,2,1,3,1,0,4,66.0,Data Analyst,10.19,2,1,2.4150205223238337
Tier 3,7.15,1,2,0,1,1,1,1,0,57.1,Data Scientist,12.52,1,2,2.604170070614818
Tier 2,6.69,2,5,0,1,2,2,0,0,45.3,Junior Developer,8.28,2,4,2.2278615467981093
Tier 1,7.11,2,2,1,4,2,0,1,2,52.4,Backend Developer,10.54,3,0,2.4458192610799534
Tier 3,7.74,2,2,0,4,1,1,2,1,58.1,DevOps Engineer,16.05,1,3,2.8361502037295256
Tier 3,6.88,0,2,1,1,6,0,0,2,50.8,Data Analyst,6.23,1,1,1.9782390361706734
Tier 3,10.0,3,1,0,3,0,1,3,1,73.0,DevOps Engineer,19.58,1,3,3.0243197304059035
Tier 1,7.43,2,0,0,3,2,1,1,0,58.0,Data Scientist,15.78,3,2,2.8201877010390604
Tier 2,8.25,0,3,0,2,2,0,1,0,58.4,Backend Developer,10.67,2,0,2.4570214462984645
Tier 3,7.49,1,2,2,2,2,1,2,1,38.8,Web Developer,13.89,1,7,2.7006898466959175
Tier 2,7.68,1,1,0,1,0,2,1,2,48.0,Data Scientist,16.05,2,2,2.8361502037295256
Tier 3,4.08,0,2,3,2,2,0,1,0,35.1,Junior Developer,2.56,1,4,1.269760544863939
Tier 3,4.7,1,1,2,1,1,0,2,0,37.4,Junior Developer,3.56,1,4,1.5173226235262949
Tier 2,5.34,0,2,1,1,0,0,0,1,38.0,Junior Developer,3.49,2,4,1.501852701754163
Tier 1,6.74,0,4,1,1,0,2,2,1,47.5,Backend Developer,9.66,3,0,2.3664984187376983
Tier 3,6.55,0,3,1,1,4,2,1,1,59.0,Data Analyst,10.13,1,1,2.4096441652874536
Tier 2,6.66,2,1,1,1,5,1,2,0,57.6,Web Developer,10.34,2,7,2.428336298299606
Tier 3,7.8,2,3,0,3,2,1,2,0,51.8,Software Engineer,15.12,1,6,2.780060737078482
Tier 3,9.37,1,2,0,0,2,2,1,1,79.3,DevOps Engineer,19.74,1,3,3.032064202801381
Tier 3,7.66,0,4,0,2,0,0,2,3,62.3,DevOps Engineer,10.31,1,3,2.425687290128029
Tier 3,6.58,0,3,1,4,1,2,2,0,46.9,DevOps Engineer,9.8,1,3,2.379546134130174
Tier 2,6.9,2,6,0,0,3,0,2,3,59.2,DevOps Engineer,8.28,2,3,2.2278615467981093
Tier 3,8.31,0,0,0,4,2,0,0,1,66.3,Data Analyst,6.19,1,1,1.9726911717329554
Tier 2,7.45,0,4,1,1,3,0,1,0,45.2,Backend Developer,9.63,2,0,2.363680192353857
Tier 3,7.26,1,0,0,1,5,1,2,1,56.6,DevOps Engineer,14.53,1,3,2.7427736371605955
Tier 2,6.46,1,1,1,4,0,0,0,2,40.5,Data Analyst,6.82,2,1,2.05668455455722
Tier 2,5.03,1,0,0,4,1,0,0,1,37.4,Junior Developer,4.17,2,4,1.6428726885203377
Tier 1,6.43,2,2,1,0,0,1,0,0,53.1,Junior Developer,8.77,3,4,2.2793164660546914
Tier 3,6.38,1,2,2,1,3,0,1,1,45.3,Backend Developer,6.59,1,0,2.0268315914075385
Tier 3,6.06,1,1,0,2,2,0,2,2,40.3,Backend Developer,7.5,1,0,2.1400661634962708
Tier 2,6.46,1,0,2,2,2,1,3,1,55.9,Backend Developer,10.3,2,0,2.424802725718295
Tier 2,5.48,1,6,1,0,3,0,1,2,27.6,Junior Developer,4.25,2,4,1.6582280766035324
Tier 1,7.38,0,4,0,1,4,2,2,0,45.2,Backend Developer,16.13,3,0,2.8408313123360287
Tier 3,4.56,1,2,1,1,2,1,1,1,37.2,Junior Developer,4.22,1,4,1.6524974018945473
Tier 1,10.0,0,3,1,1,2,1,1,2,77.6,Data Scientist,24.59,3,2,3.2422016501716975
Tier 2,7.06,1,4,2,2,4,0,2,0,48.1,Web Developer,10.55,2,7,2.446685436967803
Tier 2,6.76,2,3,1,0,6,1,3,1,42.9,DevOps Engineer,9.82,2,3,2.3813962734183356
Tier 2,7.06,0,1,2,2,4,0,0,1,45.0,Data Analyst,6.76,2,1,2.048982334195127
Tier 3,8.83,1,2,0,0,2,2,2,2,65.2,DevOps Engineer,19.96,1,3,3.0426158594528414
Tier 2,7.82,3,1,1,0,2,2,1,2,77.0,Software Engineer,15.93,2,6,2.829087196145044
Tier 3,7.67,0,0,0,0,0,0,1,0,42.7,Backend Developer,5.84,1,0,1.922787731634459
Tier 2,7.85,2,2,1,0,3,3,0,2,69.3,ML Engineer,16.48,2,5,2.8610573702273894
Tier 2,7.65,0,3,1,1,3,1,0,0,54.5,Data Scientist,16.33,2,2,2.8524391037275145
Tier 3,7.43,1,2,0,3,1,0,3,1,52.3,Backend Developer,10.33,1,0,2.427454075039915
Tier 1,8.19,1,1,1,0,2,2,1,2,58.9,Data Scientist,24.35,3,2,3.232778730037192
Tier 1,7.25,3,1,0,3,2,1,1,3,62.7,Data Analyst,13.0,3,1,2.6390573296152584
Tier 2,7.88,3,3,0,1,1,0,2,1,63.0,DevOps Engineer,10.03,2,3,2.400618833265411
Tier 2,9.05,1,2,0,0,1,2,2,2,70.6,Data Scientist,24.28,2,2,3.2300135692786567
Tier 2,7.54,2,1,0,2,1,0,1,0,51.0,DevOps Engineer,10.33,2,3,2.427454075039915
Tier 2,6.62,1,0,2,1,2,0,1,1,47.7,Backend Developer,7.91,2,0,2.187174241482718
Tier 3,6.82,1,1,1,2,3,0,3,0,49.3,Backend Developer,8.19,1,0,2.2181159363675955
Tier 3,9.35,3,2,0,1,3,0,3,1,55.5,Backend Developer,10.31,1,0,2.425687290128029
Tier 3,5.59,1,2,1,1,0,0,1,0,35.1,Junior Developer,6.14,1,4,1.965712776351493
Tier 2,8.22,1,3,1,1,1,1,1,3,66.7,Web Developer,15.12,2,7,2.780060737078482
Tier 2,7.39,3,5,0,1,4,0,1,0,44.5,Backend Developer,10.52,2,0,2.444084655267745
Tier 3,6.47,0,2,1,0,0,1,0,0,50.5,Junior Developer,8.12,1,4,2.21046980408624
Tier 2,6.33,1,2,2,1,2,0,1,0,36.2,Backend Developer,8.23,2,0,2.222459048514761
Tier 1,6.78,1,3,1,1,4,0,2,1,39.3,Backend Developer,7.71,3,0,2.1644717908644115
Tier 3,6.64,1,1,4,1,2,2,0,1,55.3,DevOps Engineer,9.83,1,3,2.382320061012899
Tier 2,8.66,1,1,2,1,1,0,0,1,67.7,DevOps Engineer,6.68,2,3,2.038619547159581
Tier 3,6.15,2,1,0,2,4,2,1,2,53.0,Data Analyst,10.29,1,1,2.4239173781615704
Tier 1,7.61,1,0,0,3,2,0,1,0,59.7,Backend Developer,10.25,3,0,2.4203681286504293
Tier 2,8.0,0,4,0,1,2,2,1,3,60.9,Data Analyst,13.5,2,1,2.6741486494265287
